size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange,inlineAsm,inlinePrefetch,alexandrescuLowerBound,alexandrescuUpperBound
1160,26.7716,25.1682,10.9932,12.6774,11.9828,25.9570,23.7764,38.1555,11.6145,11.5570,21.5823,9.1305,9.5734,9.8534,9.7776
1168,26.8412,25.1376,10.9982,12.6749,12.0096,25.7417,27.2522,38.1862,11.6317,11.5583,22.6121,9.1343,9.5708,10.3108,10.1848
1176,27.9077,25.3137,10.9774,12.6725,11.9900,26.3177,24.0944,38.3695,11.6060,11.5400,21.5675,9.1392,9.7653,10.1176,10.0588
1184,27.1458,26.7422,10.9945,12.6823,11.9827,25.9410,25.0374,38.2032,12.5746,11.5535,21.6862,9.1428,9.6014,10.3608,10.3512
1192,27.3342,24.9750,10.9883,12.6235,11.9253,25.9301,23.7091,38.1029,11.5840,11.5498,21.7632,9.1085,9.5734,11.2207,11.2806
1200,27.3477,25.3528,10.9834,12.6810,11.9851,25.8971,24.1237,39.7920,11.6171,11.5521,21.6666,9.1110,9.7739,11.2831,11.1130
1208,27.2755,25.2684,10.9932,12.6847,11.9863,25.9056,24.3390,38.5652,11.6145,11.5472,21.7963,9.1440,9.5928,11.3284,11.2404
1216,27.1471,25.1106,10.9835,12.6908,11.9802,26.6248,24.9224,38.7792,11.6060,11.5400,21.8257,9.1501,10.5626,11.1658,11.2073
1224,27.1323,25.7515,10.9431,12.6357,11.9814,25.8030,24.2363,38.6484,11.6230,11.5608,21.6727,9.1208,9.5966,11.8800,11.8042
1232,27.0675,25.3761,10.9418,12.6493,12.0035,26.8828,23.8961,38.4368,11.6084,11.5509,21.7192,9.1122,9.5880,12.2346,12.2090
1240,27.1445,25.4165,12.2505,12.6565,11.9912,26.0109,24.0369,37.8668,14.8018,11.5533,21.5138,9.1061,9.5929,12.7690,12.6664
1248,27.0944,26.0793,10.9640,12.6615,11.9924,25.8677,23.9354,37.8058,11.6084,11.5448,21.5370,9.0780,9.5220,12.9255,12.7679
1256,27.1996,26.6016,10.8979,12.6505,12.0071,26.0035,23.9720,37.5624,11.6218,11.5535,21.6874,9.1244,9.5734,13.1212,12.9612
1264,28.9106,25.6940,10.9541,12.6676,11.9998,26.0793,24.2667,37.9769,11.5472,11.4825,21.5358,9.0719,9.5525,12.8290,12.8217
1272,27.6350,25.6965,10.9578,12.6639,12.0133,25.7515,24.4637,38.6875,11.6182,11.5547,21.5161,9.1196,9.5818,13.6986,12.7997
1280,27.2767,25.4127,10.9664,12.6565,12.0157,26.0022,24.1237,38.0112,11.6194,11.5608,21.5406,9.2273,9.5685,13.2008,13.0712
1288,27.6338,31.0302,10.9565,12.6455,11.9937,26.3472,26.7545,40.1210,11.6023,12.4620,21.3732,9.1122,9.5623,12.7214,12.6418
1296,30.9446,25.1694,10.9529,12.6566,11.9999,26.2249,24.2899,38.9603,11.6108,11.5448,21.5664,9.1171,9.5586,13.1079,13.0466
1304,27.6925,25.7896,10.9591,12.5929,12.0732,25.9436,24.5004,39.6354,11.5411,11.5326,21.3781,9.1146,9.5635,13.0553,12.9135
1312,27.4039,25.7014,10.9590,12.6554,12.1428,25.9436,24.4662,38.0637,11.6073,11.5460,21.2618,9.1233,9.5659,13.5470,13.4343
1320,27.7194,25.9729,10.9565,12.6505,12.1331,26.1001,30.1288,38.7964,11.6610,11.6047,21.3805,9.1685,9.6381,13.6656,15.0647
1328,27.7904,25.8542,10.9639,12.6639,11.9594,25.9387,24.9015,38.7548,11.5876,11.5338,21.4135,9.1453,9.5795,13.5751,13.3953
1336,27.5897,25.5913,10.9626,13.5848,11.9583,25.5009,24.6117,53.4581,14.3542,12.9366,23.3751,9.1305,11.2585,14.0961,14.2635
1344,27.6765,25.5326,10.9749,12.6675,11.9583,26.1124,24.4625,40.4034,11.5840,11.5387,21.1199,9.1318,9.5854,13.5848,13.5592
1352,27.6326,26.0267,11.9191,12.6626,11.9595,26.1111,24.4099,38.1262,11.5791,11.5326,21.3387,9.1453,9.5807,13.6606,13.5054
1360,27.5127,25.3822,12.9036,12.5306,11.8506,25.4812,24.4221,42.4949,11.5240,11.4763,21.1738,9.0939,9.5305,13.5531,13.3647
1368,28.3774,25.5094,10.9088,12.5953,11.9020,26.1943,24.1384,38.6678,11.5216,11.4678,21.3022,9.0963,9.5231,13.2938,13.0724
